full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_name,is_weekend,is_holiday
2016-10-13,2016,Q4,10,October,41,13,Thursday,False,False
2016-10-14,2016,Q4,10,October,41,14,Friday,False,False
2016-10-15,2016,Q4,10,October,41,15,Saturday,True,False
2016-10-16,2016,Q4,10,October,41,16,Sunday,True,False
2016-10-17,2016,Q4,10,October,42,17,Monday,False,False
2016-10-18,2016,Q4,10,October,42,18,Tuesday,False,False
2016-10-19,2016,Q4,10,October,42,19,Wednesday,False,False
2016-10-20,2016,Q4,10,October,42,20,Thursday,False,False
2016-10-21,2016,Q4,10,October,42,21,Friday,False,False
2016-10-22,2016,Q4,10,October,42,22,Saturday,True,False
2016-10-23,2016,Q4,10,October,42,23,Sunday,True,False
2016-10-24,2016,Q4,10,October,43,24,Monday,False,False
2016-10-25,2016,Q4,10,October,43,25,Tuesday,False,False
2016-10-26,2016,Q4,10,October,43,26,Wednesday,False,False
2016-10-27,2016,Q4,10,October,43,27,Thursday,False,False
2016-10-28,2016,Q4,10,October,43,28,Friday,False,False
2016-10-29,2016,Q4,10,October,43,29,Saturday,True,False
2016-10-30,2016,Q4,10,October,43,30,Sunday,True,False
2016-10-31,2016,Q4,10,October,44,31,Monday,False,False
2016-11-01,2016,Q4,11,November,44,1,Tuesday,False,False
2016-11-02,2016,Q4,11,November,44,2,Wednesday,False,False
2016-11-03,2016,Q4,11,November,44,3,Thursday,False,False
2016-11-04,2016,Q4,11,November,44,4,Friday,False,False
2016-11-05,2016,Q4,11,November,44,5,Saturday,True,False
2016-11-06,2016,Q4,11,November,44,6,Sunday,True,False
2016-11-07,2016,Q4,11,November,45,7,Monday,False,False
2016-11-08,2016,Q4,11,November,45,8,Tuesday,False,False
2016-11-09,2016,Q4,11,November,45,9,Wednesday,False,False
2016-11-10,2016,Q4,11,November,45,10,Thursday,False,False
2016-11-11,2016,Q4,11,November,45,11,Friday,False,False
2016-11-12,2016,Q4,11,November,45,12,Saturday,True,False
2016-11-13,2016,Q4,11,November,45,13,Sunday,True,False
2016-11-14,2016,Q4,11,November,46,14,Monday,False,False
2016-11-15,2016,Q4,11,November,46,15,Tuesday,False,False
2016-11-16,2016,Q4,11,November,46,16,Wednesday,False,False
2016-11-17,2016,Q4,11,November,46,17,Thursday,False,False
2016-11-18,2016,Q4,11,November,46,18,Friday,False,False
2016-11-19,2016,Q4,11,November,46,19,Saturday,True,False
2016-11-20,2016,Q4,11,November,46,20,Sunday,True,False
2016-11-21,2016,Q4,11,November,47,21,Monday,False,False
2016-11-22,2016,Q4,11,November,47,22,Tuesday,False,False
2016-11-23,2016,Q4,11,November,47,23,Wednesday,False,False
2016-11-24,2016,Q4,11,November,47,24,Thursday,False,False
